case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_010,specCascTok0p3,spec_casc_tok (α=0.3),268,6,1,0,0,0,1,0,0,0,0,0,0,0
case_010,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),396,6,0,0,0,0,0,0,0,0,0,0,0,0
case_010,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),268,6,1,0,0,0,1,0,0,0,0,0,0,0
case_011,specCascTok0p3,spec_casc_tok (α=0.3),842,17,13,1,0,0,6,1,6,0,0,0,0,1
case_011,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),966,13,21,0,2,0,2,3,14,0,0,0,0,0
case_011,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),1125,36,19,0,2,0,4,3,10,0,0,0,0,0
case_012,specCascTok0p3,spec_casc_tok (α=0.3),373,9,2,0,0,0,0,0,2,0,0,0,0,0
case_012,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),466,9,3,0,0,0,2,0,1,0,0,0,0,0
case_012,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),355,9,3,0,0,0,1,0,2,0,0,0,0,0
case_013,specCascTok0p3,spec_casc_tok (α=0.3),322,8,4,0,0,0,0,1,3,0,0,0,0,0
case_013,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),543,16,3,0,0,0,1,1,1,0,0,0,0,0
case_013,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),431,15,5,0,0,0,0,2,3,0,0,0,0,0
case_014,specCascTok0p3,spec_casc_tok (α=0.3),343,4,0,0,0,0,0,0,0,0,0,0,0,0
case_014,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),343,4,0,0,0,0,0,0,0,0,0,0,0,0
case_014,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),343,4,0,0,0,0,0,0,0,0,0,0,0,0
case_015,specCascTok0p3,spec_casc_tok (α=0.3),271,7,0,0,0,0,0,0,0,0,0,0,0,0
case_015,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),357,11,0,0,0,0,0,0,0,0,0,0,0,0
case_015,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),271,7,0,0,0,0,0,0,0,0,0,0,0,0
case_016,specCascTok0p3,spec_casc_tok (α=0.3),293,7,2,0,0,0,0,0,2,0,0,0,0,0
case_016,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),260,2,3,0,0,0,0,0,3,0,0,0,0,0
case_016,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),293,7,2,0,0,0,0,0,2,0,0,0,0,0
case_017,specCascTok0p3,spec_casc_tok (α=0.3),477,11,7,1,0,0,2,0,5,0,0,0,0,1
case_017,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),374,10,5,1,0,0,2,0,3,0,0,0,0,1
case_017,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),474,11,3,0,0,0,0,0,3,0,0,0,0,0
case_018,specCascTok0p3,spec_casc_tok (α=0.3),691,11,4,0,0,0,2,0,2,0,0,0,0,0
case_018,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),535,6,3,0,0,0,1,0,2,0,0,0,0,0
case_018,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),782,15,9,0,0,0,3,0,6,0,0,0,0,0
case_019,specCascTok0p3,spec_casc_tok (α=0.3),428,7,1,0,0,0,1,0,0,0,0,0,0,0
case_019,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),472,11,2,0,0,0,2,0,0,0,0,0,0,0
case_019,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),312,8,4,0,0,0,1,0,3,0,0,0,0,0
case_020,specCascTok0p3,spec_casc_tok (α=0.3),509,10,4,0,0,0,2,0,2,0,0,0,0,0
case_020,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),907,17,7,0,0,0,5,0,2,0,0,0,0,0
case_020,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),509,10,4,0,0,0,2,0,2,0,0,0,0,0
